2/(-25 + 16*d),(-4*(-15 + 8*d))/(5*(-25 + 16*d)),2/(-25 + 16*d),(-4*(-15 + 8*d))/(5*(-25 + 16*d)),2/(-25 + 16*d),(-4*(-15 + 8*d))/(5*(-25 + 16*d)),2/(-25 + 16*d),(-4*(-15 + 8*d))/(5*(-25 + 16*d)),0
-((-20 + d)/(-250 + 135*d + 16*d**2)),-1/5*(-600 + 125*d + 128*d**2)/(-250 + 135*d + 16*d**2),-((-20 + d)/(-250 + 135*d + 16*d**2)),-1/5*(-600 + 125*d + 128*d**2)/(-250 + 135*d + 16*d**2),-((-20 + d)/(-250 + 135*d + 16*d**2)),-1/5*(-600 + 125*d + 128*d**2)/(-250 + 135*d + 16*d**2),-((280 - 191*d)/(-250 + 135*d + 16*d**2)),-1/5*(900 + 665*d - 832*d**2)/(-250 + 135*d + 16*d**2),0
-((20 + 9*d)/(250 - 385*d + 144*d**2)),-1/5*(600 - 875*d + 384*d**2)/(250 - 385*d + 144*d**2),-((-280 + 201*d)/(250 - 385*d + 144*d**2)),-1/5*(-900 + 1585*d - 576*d**2)/(250 - 385*d + 144*d**2),-((20 + 9*d)/(250 - 385*d + 144*d**2)),-1/5*(600 - 875*d + 384*d**2)/(250 - 385*d + 144*d**2),-((20 + 9*d)/(250 - 385*d + 144*d**2)),-1/5*(600 - 875*d + 384*d**2)/(250 - 385*d + 144*d**2),0
(-2*(5 + 2*d))/(125 - 180*d + 64*d**2),(-4*(75 - 85*d + 32*d**2))/(5*(125 - 180*d + 64*d**2)),(-20*(-7 + 5*d))/(125 - 180*d + 64*d**2),(-2*(5 + 2*d)*(-45 + 32*d))/(5*(125 - 180*d + 64*d**2)),(-2*(5 + 2*d))/(125 - 180*d + 64*d**2),(-4*(75 - 85*d + 32*d**2))/(5*(125 - 180*d + 64*d**2)),(-20*(-7 + 5*d))/(125 - 180*d + 64*d**2),(-2*(5 + 2*d)*(-45 + 32*d))/(5*(125 - 180*d + 64*d**2)),0
(-5*(4 + 5*d))/(250 - 185*d + 16*d**2),-1/5*(600 - 1595*d + 896*d**2)/(250 - 185*d + 16*d**2),(-5*(4 + 5*d))/(250 - 185*d + 16*d**2),-1/5*(600 - 1595*d + 896*d**2)/(250 - 185*d + 16*d**2),(-7*(-40 + 31*d))/(250 - 185*d + 16*d**2),-1/5*(-900 + 865*d - 64*d**2)/(250 - 185*d + 16*d**2),(-5*(4 + 5*d))/(250 - 185*d + 16*d**2),-1/5*(600 - 1595*d + 896*d**2)/(250 - 185*d + 16*d**2),0
(2*(5 + 6*d))/(5*(-25 + 16*d)),(4*(75 - 175*d + 96*d**2))/(25*(-25 + 16*d)),(2*(5 + 6*d))/(5*(-25 + 16*d)),(4*(75 - 175*d + 96*d**2))/(25*(-25 + 16*d)),(4*(-35 + 27*d))/(5*(-25 + 16*d)),(2*(5 + 6*d)*(-45 + 32*d))/(25*(-25 + 16*d)),(4*(-35 + 27*d))/(5*(-25 + 16*d)),(2*(5 + 6*d)*(-45 + 32*d))/(25*(-25 + 16*d)),0
-1/5*(10 + 17*d)/(25 - 41*d + 16*d**2),-1/5*(60 - 215*d + 128*d**2)/(25 - 41*d + 16*d**2),-1/5*(-140 + 113*d)/(25 - 41*d + 16*d**2),-1/5*(-90 + 181*d - 64*d**2)/(25 - 41*d + 16*d**2),-1/5*(-140 + 113*d)/(25 - 41*d + 16*d**2),-1/5*(-90 + 181*d - 64*d**2)/(25 - 41*d + 16*d**2),-1/5*(10 + 17*d)/(25 - 41*d + 16*d**2),-1/5*(60 - 215*d + 128*d**2)/(25 - 41*d + 16*d**2),0
-((20 + 33*d)/(250 - 385*d + 144*d**2)),-1/5*(600 - 1955*d + 1152*d**2)/(250 - 385*d + 144*d**2),(-5*(-56 + 45*d))/(250 - 385*d + 144*d**2),-1/5*(-900 + 505*d + 192*d**2)/(250 - 385*d + 144*d**2),(-5*(-56 + 45*d))/(250 - 385*d + 144*d**2),-1/5*(-900 + 505*d + 192*d**2)/(250 - 385*d + 144*d**2),(-5*(-56 + 45*d))/(250 - 385*d + 144*d**2),-1/5*(-900 + 505*d + 192*d**2)/(250 - 385*d + 144*d**2),0
-((280 + 33*d)/(-250 - 65*d + 144*d**2)),-1/5*(900 + 185*d + 192*d**2)/(-250 - 65*d + 144*d**2),(-5*(-4 + 45*d))/(-250 - 65*d + 144*d**2),-1/5*(-600 - 355*d + 1152*d**2)/(-250 - 65*d + 144*d**2),(-5*(-4 + 45*d))/(-250 - 65*d + 144*d**2),-1/5*(-600 - 355*d + 1152*d**2)/(-250 - 65*d + 144*d**2),(-5*(-4 + 45*d))/(-250 - 65*d + 144*d**2),-1/5*(-600 - 355*d + 1152*d**2)/(-250 - 65*d + 144*d**2),0
-1/5*(140 + 17*d)/(-25 - 9*d + 16*d**2),-1/5*(90 + 149*d - 64*d**2)/(-25 - 9*d + 16*d**2),-1/5*(-10 + 113*d)/(-25 - 9*d + 16*d**2),-1/5*(-60 - 55*d + 128*d**2)/(-25 - 9*d + 16*d**2),-1/5*(-10 + 113*d)/(-25 - 9*d + 16*d**2),-1/5*(-60 - 55*d + 128*d**2)/(-25 - 9*d + 16*d**2),-1/5*(140 + 17*d)/(-25 - 9*d + 16*d**2),-1/5*(90 + 149*d - 64*d**2)/(-25 - 9*d + 16*d**2),0
(-4*(35 + 3*d))/(5*(-25 + 16*d)),(-2*(225 - 190*d + 192*d**2))/(25*(-25 + 16*d)),(-4*(35 + 3*d))/(5*(-25 + 16*d)),(-2*(225 - 190*d + 192*d**2))/(25*(-25 + 16*d)),(-2*(-5 + 54*d))/(5*(-25 + 16*d)),(-4*(-75 + 25*d + 96*d**2))/(25*(-25 + 16*d)),(-2*(-5 + 54*d))/(5*(-25 + 16*d)),(-4*(-75 + 25*d + 96*d**2))/(25*(-25 + 16*d)),0
(-5*(56 + 5*d))/(-250 + 135*d + 16*d**2),-1/5*(900 + 545*d - 64*d**2)/(-250 + 135*d + 16*d**2),(-5*(56 + 5*d))/(-250 + 135*d + 16*d**2),-1/5*(900 + 545*d - 64*d**2)/(-250 + 135*d + 16*d**2),-((-20 + 217*d)/(-250 + 135*d + 16*d**2)),-1/5*(-600 + 5*d + 896*d**2)/(-250 + 135*d + 16*d**2),(-5*(56 + 5*d))/(-250 + 135*d + 16*d**2),-1/5*(900 + 545*d - 64*d**2)/(-250 + 135*d + 16*d**2),0
(-4*(35 + d))/(-125 - 20*d + 64*d**2),(-2*(225 - 10*d + 64*d**2))/(5*(-125 - 20*d + 64*d**2)),(-10*(-1 + 10*d))/(-125 - 20*d + 64*d**2),(-4*(-75 + 115*d + 32*d**2))/(5*(-125 - 20*d + 64*d**2)),(-4*(35 + d))/(-125 - 20*d + 64*d**2),(-2*(225 - 10*d + 64*d**2))/(5*(-125 - 20*d + 64*d**2)),(-10*(-1 + 10*d))/(-125 - 20*d + 64*d**2),(-4*(-75 + 115*d + 32*d**2))/(5*(-125 - 20*d + 64*d**2)),0
-((280 + 9*d)/(-250 - 65*d + 144*d**2)),-1/5*(900 + 1265*d - 576*d**2)/(-250 - 65*d + 144*d**2),-((-20 + 201*d)/(-250 - 65*d + 144*d**2)),-1/5*(-600 + 725*d + 384*d**2)/(-250 - 65*d + 144*d**2),-((280 + 9*d)/(-250 - 65*d + 144*d**2)),-1/5*(900 + 1265*d - 576*d**2)/(-250 - 65*d + 144*d**2),-((280 + 9*d)/(-250 - 65*d + 144*d**2)),-1/5*(900 + 1265*d - 576*d**2)/(-250 - 65*d + 144*d**2),0
